"Type","Recipe","Sales Price","Effect","Stamina Recovery","Holiday Gift","Bazaar Trend","Favorite Gift","Loved Gift","Liked Gift","Ingredient1","Ingredient2","Ingredient3","Ingredient4","IngredientA"
"Other","Summer Blend Tea","1674","Run Speed Up Lv. 3","Slight","Hearth Day","","","","","Summer Blend Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Desserts","Cheesecake","1602","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Buffalo Milk","Cheese|Herb Cheese|Cheese +","Lemon|Butter|Herb Butter|Butter +|Sugar"
"Sides","Fish & Chips","1584","Max Stamina Up Lv. 3","Slight","","","","","","Yellow Perch|Snakehead|Masu Trout|Char|Salmon|Icefish|Cherry Salmon","Potato","Wheat Flour|Rice Flour","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","Chili Pepper|Mayonnaise|Mayonnaise +|Vinegar|Salt|Pepper"
"Mains","Gratin","1568","None","Significant","","","","","","Wheat Flour","Cheese|Herb Cheese|Cheese +","Mayonnaise|Herb Mayonnaise|Mayonnaise +","","Onion|Shiitake Mushroom|Pasta|Butter|Herb Butter|Butter +|Salt|Pepper"
"Mains","Spaghetti Soup","1566","None","Significant","Hearth Day","","","","","Pasta","Tomato","Grayling|Bighead Carp|Nile Perch|Barbel Steed|Three-Lips Carp|Brown Trout|Black Bass|Mugitsuku","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","Onion|Cabbage|Soybean|Shimeji Mushroom|Mint|Nut Oil|Herb Oil|Olive Oil"
"Mains","Risotto","1552","None","Significant","","","","","","Rice","Cheese|Herb Cheese|Cheese +","Tomato","Onion","Garlic|Milk|Buffalo Milk|Butter|Herb Butter|Butter +|Olive Oil|Salt|Pepper"
"Sides","Babaocai","1509","Watering Rare Crop % Lv. 3","Slight","","Green-Colored Recipes","","","","Napa Cabbage","Carrot","Green Bell Pepper","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","Cabbage|Onion|Bok Choy|Burdock|Red Bell Pepper"
"Mains","Carpaccio","1469","None","Significant","","","","","","Yellow Perch|Snakehead|Masu Trout|Char|Salmon|Icefish|Cherry Salmon","Onion","Vinegar","","Salt|Pepper|Olive Oil"
"Desserts","Apple Pie","1458","Petting Rare Item Lv. 3","Slight","Pumpkin Festival","","","Madeleine","","Wheat Flour","Egg|Silkie Egg","Butter|Herb Butter|Butter +","Apple","Lemon|Sugar|Salt"
"Mains","Cheese Fondue","1452","None","Significant","","","","","","Cheese|Herb Cheese|Cheese +","Bread|White Bread|Baguettes|Focaccia Bread","Broccoli|Potato|Asparagus|Red Bell Pepper|Carrot|Common Mushroom|Pumpkin","","Garlic|Salt|Pepper"
"Mains","Mushroom Pasta","1449","None","Significant","","","","","","Pasta","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","Butter|Herb Butter|Butter +","","Green Onion|Garlic|Salt|Pepper|Soy Sauce|Olive Oil|Cheese|Herb Cheese|Cheese +"
"Mains","Inari Sushi","1427","None","Significant","","","","","","Cooked Rice","Fried Tofu","Vinegar","Sugar","Carrot|Burdock|Soybean|Shiitake Mushroom|Soy Sauce"
"Mains","Spicy Curry","1424","None","Significant","","","Felix","","","Cooked Rice","Curry Powder","Spice","Potato|Carrot|Onion","Tomato|Garlic|Apple"
"Desserts","Steamed Cake","1422","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Milk|Buffalo Milk","Pumpkin","Sweet Potato|Butter|Herb Butter|Butter +|Rice Flour|Sugar"
"Mains","Omelet Rice","1410","None","Significant","","","","","","Omelet","Cooked Rice","","","Onion|Tomato|Milk|Buffalo Milk|Butter|Herb Butter|Butter +|Salt|Pepper|Oil"
"Mains","Spaghetti Peperoncino","1410","None","Significant","","","","","","Pasta","Chili Pepper","Garlic","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","Shimeji Mushroom|Common Mushroom|Salt|Soy Sauce|Pepper|Cheese|Herb Cheese|Cheese +"
"Desserts","Cherry Pie","1404","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","Madeleine","","Wheat Flour","Egg|Silkie Egg","Butter|Herb Butter|Butter +","Cherry","Lemon|Sugar|Salt"
"Sides","Steamed Bun","1377","Max Stamina Up Lv. 3","Slight","","","","","","Wheat Flour","Napa Cabbage","Shiitake Mushroom","Green Onion","Sugar|Salt|Pepper|Oil"
"Desserts","Strawberry Pie","1368","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","Madeleine","","Wheat Flour","Egg|Silkie Egg","Butter|Herb Butter|Butter +","Strawberry","Lemon|Sugar|Salt"
"Sides","Gyoza","1353","Max Stamina Up Lv. 3","Slight","","","","","","Wheat Flour","Cabbage","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Napa Cabbage|Soy Sauce|Sugar|Salt|Pepper|Miso|Vinegar"
"Desserts","Whole Cake","1350","Petting Rare Item % Lv. 3","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg +|Silkie Egg +","Milk +|Buffalo Milk +","Strawberry","Butter|Herb Butter|Butter +|Sugar|Chocolate"
"Mains","Jam-Filled Bun","1339","None","Significant","","","","","","Wheat Flour","Apple Jam|Strawberry Jam|Grape Jam|Blueberry Jam","","","Milk|Buffalo Milk|Butter|Herb Butter|Butter +|Sugar|Salt"
"Mains","Milk Curry","1334","None","Significant","","","","","","Cooked Rice","Curry Powder","Milk|Buffalo Milk","Potato|Carrot|Onion","Tomato|Garlic|Apple|Butter|Herb Butter|Butter +|Cheese|Herb Cheese|Cheese +"
"Desserts","Donuts","1332","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Sugar","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","Milk|Buffalo Milk|Butter|Herb Butter|Butter +"
"Desserts","Churros","1332","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","Sugar","Honey|Invigorating Honey|Mellow Honey|Royal Honey|Butter|Herb Butter|Butter +|Chocolate"
"Mains","Burgundy Fondue","1325","None","Significant","","","","","","Olive Oil","Bread|White Bread|Baguettes|Focaccia Bread","Broccoli|Potato|Asparagus|Red Bell Pepper|Carrot|Common Mushroom|Pumpkin","","Garlic|Salt|Pepper"
"Soups","Pumpkin Soup","1320","Run Speed Up Lv. 3","Slight","Hearth Day","","","","","Pumpkin","Milk|Buffalo Milk","Onion","","Butter|Herb Butter|Butter +|Salt|Pepper"
"Sides","Cheese Bun","1320","Chat Friendship Boost Lv. 3","Slight","","","","","","Wheat Flour","Butter|Herb Butter|Butter +","Buffalo Milk","","Garlic|Milk|Buffalo Milk|Sugar|Salt|Pepper|Oil"
"Mains","Fried Rice","1316","None","Significant","","","","","","Cooked Rice","Egg|Silkie Egg","Onion","Carrot","Cabbage|Green Bell Pepper|Green Onion|Soy Sauce|Salt|Pepper"
"Salads","Guacamole Salad","1309","Stamina Saver Lv. 3","Slight","","Green-Colored Recipes","","Sophie","","Avocado","Onion","Tomato","Salt","Lemon|Salt|Pepper"
"Mains","Rainbow Curry","1304","None","Significant","","Green-Colored Recipes","","","","Cooked Rice","Curry Powder","Spinach","Red Bell Pepper","Tomato|Garlic|Apple"
"Other","Spring Blend Tea","1287","Chat Friendship Boost Lv. 3","Slight","Hearth Day","","","","","Spring Blend Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Sides","Stir-Fried Vegetables","1276","Max Stamina Up Lv. 3","Slight","","Green-Colored Recipes","","","","Cabbage","Napa Cabbage","","","Carrot|Green Bell Pepper|Asparagus|Pumpkin|Salt|Pepper"
"Desserts","Chocolate Cake","1242","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Milk|Buffalo Milk","Chocolate","Cacao Bean|Butter|Herb Butter|Butter +|Matcha Tea"
"Desserts","Baumkuchen","1242","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Milk|Buffalo Milk","Sugar","Honey|Invigorating Honey|Mellow Honey|Royal Honey|Butter|Herb Butter|Butter +"
"Other","Happy Chef Salad","1233","Happy Energy Gain Lv. 3","Slight","","","","","","Egg|Silkie Egg","Corn","Onion","Cucumber|Onion|Asparagus|Tomato|Red Bell Pepper|Carrot|Turnip|Sweet Potato|Pumpkin|Eggplant","Sugar|Salt|Walnut|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Sides","Stuffed Cabbage","1213","Max Stamina Up Lv. 3","Slight","","Green-Colored Recipes","","","","Cabbage","Carrot","","","Salt|Pepper|Nut Oil|Herb Oil|Olive Oil|Pumpkin Oil|Grape Oil"
"Mains","Fried Matsutake Mushrooms","1200","None","Significant","","","","","","Matsutake Mushroom","","","","Salt|Pepper|Pumpkin Oil|Grape Oil"
"Salads","Poke","1197","Watering Rare Crop % Lv. 3","Slight","","Green-Colored Recipes","","Clara|Sophie","","Avocado","Salmon","Soy Sauce","","Onion|Green Onion|Oil"
"Mains","Rice Gratin","1188","None","Significant","","","","","","Rice","Cheese|Herb Cheese|Cheese +","Buffalo Milk","","Onion|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Butter|Herb Butter|Butter +|Salt|Pepper"
"Mains","Herb Bread","1182","None","Significant","","","","","","Wheat Flour","Herb Butter","","","Milk|Buffalo Milk|Butter|Herb Butter|Butter +|Sugar|Salt"
"Sides","Scones","1155","Max Stamina Up Lv. 3","Slight","","","","","","Wheat Flour","Butter|Herb Butter|Butter +","Milk|Buffalo Milk","","Grape Jam|Apple Jam|Blueberry Jam|Strawberry Jam"
"Mains","Tempura","1152","None","Significant","","","","","","Wheat Flour","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","Egg|Silkie Egg","Shiitake Mushroom|Pumpkin|Eggplant|Sweet Potato|Icefish|Pond Smelt","Daikon Radish|Salt"
"Desserts","Pancakes","1152","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Milk|Buffalo Milk","Honey|Invigorating Honey|Mellow Honey|Royal Honey","Butter|Herb Butter|Butter +|Sugar"
"Mains","Paella","1151","None","Significant","","","","","","Cooked Rice","Grayling|Bighead Carp|Nile Perch|Barbel Steed|Three-Lips Carp|Brown Trout|Black Bass|Mugitsuku","Red Bell Pepper","Spice","Tomato|Common Mushroom|Porcini Mushroom|Morel Mushroom|Olive Oil|Salt|Pepper"
"Mains","Boiled Tofu","1147","None","Significant","Hearth Day","","","","","Tofu","Napa Cabbage","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","","Spinach|Bok Choy|Daikon Radish|Green Onion|Soy Sauce|Vinegar"
"Mains","Pizza","1142","None","Significant","","","","","","Wheat Flour","Tomato","Cheese|Herb Cheese|Cheese +","","Green Bell Pepper|Onion|Asparagus|Corn|Pineapple"
"Sides","Galette","1122","Max Stamina Up Lv. 3","Slight","","","","","","Buckwheat Flour","Potato","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Egg|Silkie Egg|Cheese|Herb Cheese|Cheese +|Olive Oil|Pumpkin Oil|Grape Oil|Salt|Pepper"
"Sides","Cream Croquettes","1098","Chat Friendship Boost Lv. 3","Slight","","","","","","Potato","Breadcrumb|White Breadcrumb","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","Milk|Buffalo Milk","Onion|Cabbage|Egg|Silkie Egg|Sugar|Salt|Pepper"
"Desserts","Fruit Dumplings","1089","Petting Happiness Up Lv. 3","Slight","Pumpkin Festival","","","Madeleine","","Refined Rice Flour","Cherry|Blueberry|Green Grapes|Strawberry|Mango|Pineapple|Banana|Peach|Orange|Melon","Cherry|Blueberry|Green Grapes|Strawberry|Mango|Pineapple|Banana|Peach|Orange|Melon","","Mint|Sugar"
"Mains","Meunière Fish","1073","None","Significant","","","","","","Grayling|Bighead Carp|Nile Perch|Barbel Steed|Three-Lips Carp|Brown Trout|Black Bass|Mugitsuku","Wheat Flour","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Lemon|Butter|Herb Butter|Butter +|Olive Oil"
"Sides","Buttered Roll","1056","Max Stamina Up Lv. 3","Slight","","","","","","Wheat Flour","Egg|Silkie Egg","Butter|Herb Butter|Butter +","","Milk|Buffalo Milk|Sugar|Salt"
"Mains","Rice & Mixed Vegetables","1052","None","Significant","","","","","","Rice","Fried Tofu","Carrot","","Daikon Radish|Burdock|Shimeji Mushroom|Shiitake Mushroom|Soy Sauce|Salt"
"Soups","Onion Soup","1024","Rod Durability Up Lv. 3","Slight","Hearth Day","","","","","Onion","Butter|Herb Butter|Butter +","","","Garlic|Salt|Pepper|Baguettes"
"Desserts","Sweet Potato Cakes","932","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","","","","Milk|Buffalo Milk","Sugar","Sweet Potato","","Egg|Silkie Egg|Butter|Herb Butter|Butter +|Salt"
"Other","Apple Jam","932","Pet Training Up Lv. 2","Slight","","","","","","Apple","Sugar","Lemon","","Honey|Invigorating Honey|Mellow Honey|Royal Honey"
"Sides","Shumai Dumplings","924","Rod Durability Up Lv. 2","Slight","","","","","","Wheat Flour","Onion","Bluegill|Willow Shiner|Killifish|Stone Moroko|Pond Smelt|Sweetfish|Eel|Marbled Eel|Goldfish|Crucian Carp","","Soybean|Sugar|Soy Sauce|Salt|Pepper"
"Mains","Vegetable Curry","911","None","Moderate","","","","Madeleine","","Cooked Rice","Curry Powder","Cucumber|Onion|Asparagus|Tomato|Red Bell Pepper|Carrot|Turnip|Sweet Potato|Pumpkin|Eggplant","","Garlic|Apple"
"Sides","Chili con Carne","911","Max Stamina Up Lv. 2","Slight","Hearth Day","","","","","Tomato","Soybean","Chili Pepper","Pepper","Cheese|Herb Cheese|Cheese +"
"Sides","Grilled Corn","886","Watering Rare Crop % Lv. 2","Slight","","","","","","Corn","Soy Sauce","Sugar","","Garlic|Butter|Herb Butter|Butter +|Oil"
"Sides","Sautéed Turnips","882","Max Stamina Up Lv. 2","Slight","","","","","","Turnip","Butter|Herb Butter|Butter +","","","Garlic|Salt|Pepper|Oil|Nut Oil|Herb Oil|Olive Oil|Miso"
"Mains","Mushroom Rice","874","None","Moderate","","","","","","Rice","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","Green Onion|Fried Tofu|Soy Sauce|Salt"
"Mains","Chirashi Sushi","867","None","Moderate","","","","","","Sashimi","Cooked Rice","Vinegar","Egg|Silkie Egg","Carrot|Shiitake Mushroom|Soybean|Soy Sauce|Sugar|Salt|Seaweed"
"Sides","Focaccia Bread","843","Max Stamina Up Lv. 2","Slight","","","","","","Wheat Flour","Olive Oil","","","Tomato|Cheese|Herb Cheese|Cheese +|Sugar|Salt"
"Other","Cherry Tea","842","Pet Training Up Lv. 2","Slight","Hearth Day","","","","","Cherry Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Desserts","Baked Apple","838","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","","Madeleine","","Apple","Butter|Herb Butter|Butter +","","","Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Mains","Bouillabaisse","835","None","Moderate","Hearth Day","","","","","Tomato","Grayling|Bighead Carp|Nile Perch|Barbel Steed|Three-Lips Carp|Brown Trout|Black Bass|Mugitsuku","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Onion|Garlic|Salt|Pepper|Nut Oil|Herb Oil|Olive Oil"
"Desserts","Ice Cream","832","Petting Happiness Up Lv. 2","Slight","Pumpkin Festival","","","","","Milk|Buffalo Milk","Egg|Silkie Egg","Sugar","","Mint|Chocolate|Black Tea"
"Desserts","Chocolate Cookies","832","Petting Rare Item % Lv. 2","Slight","Pumpkin Festival","","","","","Wheat Flour","Egg|Silkie Egg","Chocolate","","Milk|Buffalo Milk|Butter|Herb Butter|Butter +|Sugar"
"Other","Banana Tea","832","Pet Training Up Lv. 2","Slight","Hearth Day","","","","","Banana Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Other","Lemon Tea","822","Pet Training Up Lv. 2","Slight","","","","","","Lemon Tea Tin","","","","Lemon|Milk|Buffalo Milk|Honey|Invigorating Honey|Mellow Honey|Royal Honey|Sugar"
"Mains","Herb Sandwich","817","None","Moderate","","","","","","Bread|White Bread|Baguettes|Focaccia Bread","Mint|Chamomile|Lavender","Mayonnaise|Herb Mayonnaise|Mayonnaise +","","Tomato|Onion|Mayonnaise|Herb Mayonnaise|Mayonnaise +|Nut Oil|Herb Oil|Olive Oil"
"Mains","Steamed Mushrooms","809","None","Moderate","","","","","","Shiitake Mushroom|Shimeji Mushroom|Common Mushroom|Porcini Mushroom|Morel Mushroom|Matsutake Mushroom|Monarch Mushroom","Butter|Herb Butter|Butter +","","","Salt|Pepper|Nut Oil|Herb Oil|Olive Oil"
"Mains","Tofu Steak","809","None","Massive","","","","","","Tofu","Wheat Flour|Rice Flour","Oil|Nut Oil|Herb Oil|Olive Oil|Grape Oil","","Green Onion|Soy Sauce|Sugar"
"Mains","Milk Rice Porridge","801","None","Moderate","","","","","","Rice","Salt","Milk|Buffalo Milk","","Onion|Shiitake Mushroom|Shimeji Mushroom|Butter|Herb Butter|Butter +|Salt|Pepper"
"Other","Café au Lait","780","Chat Friendship Boost Lv. 2","Slight","Hearth Day","","","","","Hot Coffee","Milk|Buffalo Milk","","","Butter|Herb Butter|Butter +|Chocolate|Soy Milk|Ice Cream"
"Soups","Radish Soup","770","Rod Durability Up Lv. 2","Slight","Hearth Day","","","","","Radish","Milk|Buffalo Milk","Salt","","Onion|Butter|Herb Butter|Butter +|Pepper"
"Sides","Stew","770","Chat Friendship Boost Lv. 2","Slight","Hearth Day","Green-Colored Recipes","","","","Wheat Flour","Milk|Buffalo Milk","Potato|Asparagus|Carrot|Cabbage|Turnip|Cauliflower","","Cheese|Herb Cheese|Cheese +|Butter|Herb Butter|Butter +|Salt|Pepper"
"Desserts","Honey Cake","755","Petting Rare Item % Lv. 2","Slight","Honey Day, Pumpkin Festival","","","","","Wheat Flour","Egg +|Silkie Egg +","Honey|Invigorating Honey|Mellow Honey|Royal Honey","","Honey|Invigorating Honey|Mellow Honey|Royal Honey|Chamomile"
"Sides","Steamed Egg Custard","747","Max Stamina Up Lv. 2","Slight","","","","","","Egg|Silkie Egg","Shiitake Mushroom","Fish Cake","","Spinach|Carrot|Broccoli|Soybean|Shimeji Mushroom|Salt"
"Desserts","Chocolate-Covered Banana","735","Petting Rare Item Lv. 2","Slight","Pumpkin Festival","","","","","Banana","Chocolate","","","Sugar|Oil"
"Mains","Fried Onigiri","735","None","Moderate","","","","","","Onigiri","Soy Sauce","","","Seaweed|Green Tea|Sencha Tea"
