type,filename,modified_date
ingredient,grape_oil.png,Nov 25
ingredient,grass_carp.png,Nov 25
ingredient,grayling.png,Nov 25
ingredient,green_bottle.png,Nov 25
ingredient,green_bracelet.png,Nov 25
ingredient,green_grape_tea_tin.png,Nov 25
ingredient,green_onion.png,Nov 25
ingredient,guardian_bait.png,Nov 25
ingredient,herb_oil.png,Nov 25
ingredient,hot_coffee.png,Nov 25
ingredient,icefish.png,Nov 25
ingredient,killifish.png,Nov 25
ingredient,koi.png,Nov 25
ingredient,large_empty_bottle.png,Nov 25
ingredient,large_empty_can.png,Nov 25
ingredient,large_fish_bait.png,Nov 25
ingredient,lavender.png,Nov 25
ingredient,legendary_treasure_chest.png,Nov 25
ingredient,lemon_juice.png,Nov 25
ingredient,loach.png,Nov 25
ingredient,lumber.png,Nov 25
ingredient,magic_blue_flower.png,Nov 25
ingredient,magic_red_flower.png,Nov 25
ingredient,mango_juice.png,Nov 25
ingredient,marigold_seeds.png,Nov 25
ingredient,masu_trout.png,Nov 25
ingredient,melon_juice.png,Nov 25
ingredient,melon.png,Nov 25
ingredient,milk_plus.png,Nov 25
ingredient,mint.png,Nov 25
ingredient,mixed_salad.png,Nov 25
ingredient,monarch_mushroom.png,Nov 25
ingredient,morel_mushroom.png,Nov 25
ingredient,mugitsuku.png,Nov 25
ingredient,napa_cabbage.png,Nov 25
ingredient,natural_dye.png,Nov 25
ingredient,nile_perch.png,Nov 25
ingredient,noble_dye.png,Nov 25
ingredient,northern_pike.png,Nov 25
ingredient,oil.png,Nov 25
ingredient,old_left_boot.png,Nov 25
ingredient,olive_oil.png,Nov 25
ingredient,omelet.png,Nov 25
ingredient,onigiri.png,Nov 25
ingredient,oolong_tea_tin.png,Nov 25
ingredient,orange_bottle.png,Nov 25
ingredient,orange_juice.png,Nov 25
ingredient,orichalcum_fishing_rod.png,Nov 25
ingredient,orichalcum_sickle.png,Nov 25
ingredient,orichalcum_watering_can.png,Nov 25
ingredient,pale_chub.png,Nov 25
ingredient,pasta.png,Nov 25
ingredient,peach_juice.png,Nov 25
ingredient,peacock_bass.png,Nov 25
ingredient,peridot.png,Nov 25
ingredient,pickled_pumpkin.png,Nov 25
ingredient,pineapple.png,Nov 25
ingredient,pond_smelt.png,Nov 25
ingredient,pu_er_tea_tin.png,Nov 25
ingredient,puer_tea_tin.png,Nov 25
ingredient,pumpkin_oil.png,Nov 25
ingredient,pumpkin.png,Nov 25
ingredient,purple_bottle.png,Nov 25
ingredient,radish.png,Nov 25
ingredient,rainbow_trout.png,Nov 25
ingredient,rare_empty_can.png,Nov 25
ingredient,red_bottle.png,Nov 25
ingredient,rice.png,Nov 25
ingredient,salmon.png,Nov 25
ingredient,sashimi.png,Nov 25
ingredient,sculpin.png,Nov 25
ingredient,shimeji_mushroom.png,Nov 25
ingredient,shining_fish.png,Nov 25
ingredient,silver_carp.png,Nov 25
ingredient,silver_fishing_rod_plus.png,Nov 25
ingredient,silver_fishing_rod.png,Nov 25
ingredient,silver_hatchet.png,Nov 25
ingredient,silver_hoe_plus.png,Nov 25
ingredient,silver_hoe.png,Nov 25
ingredient,silver_medal.png,Nov 25
ingredient,silver_sickle_plus.png,Nov 25
ingredient,silver_sickle.png,Nov 25
ingredient,silver_watering_can_plus.png,Nov 25
ingredient,silver_watering_can.png,Nov 25
ingredient,silver.png,Nov 25
ingredient,snakehead.png,Nov 25
ingredient,soy_milk.png,Nov 25
ingredient,soy_sauce.png,Nov 25
ingredient,soybean.png,Nov 25
ingredient,sparkly_bracelet.png,Nov 25
ingredient,spring_juice.png,Nov 25
ingredient,spring_tea_leaves.png,Nov 25
ingredient,sprinkler.png,Nov 25
ingredient,stone_moroko.png,Nov 25
ingredient,stone.png,Nov 25
ingredient,strawberry_jam.png,Nov 25
ingredient,strawberry_juice.png,Nov 25
ingredient,sturdy_lumber.png,Nov 25
ingredient,suffolk_yarn_plus.png,Nov 25
ingredient,summer_bouquet.png,Nov 25
ingredient,summer_juice.png,Nov 25
ingredient,summer_tea_leaves.png,Nov 25
ingredient,supreme_curry.png,Nov 25
ingredient,sweetfish.png,Nov 25
ingredient,tamoroko.png,Nov 25
ingredient,tea_perfume.png,Nov 25
ingredient,tempura.png,Nov 25
ingredient,three_lips_carp.png,Nov 25
ingredient,tofu.png,Nov 25
ingredient,toy_flower.png,Nov 25
ingredient,ultimate_fishing_rod.png,Nov 25
ingredient,ultimate_lumber.png,Nov 25
ingredient,warm_dye.png,Nov 25
ingredient,watermelon.png,Nov 25
ingredient,weeds.png,Nov 25
ingredient,wheat.png,Nov 25
ingredient,white_bread.png,Nov 25
ingredient,white_breadcrumbs.png,Nov 25
ingredient,white_windmill_churn.png,Nov 25
ingredient,willow_shiner.png,Nov 25
ingredient,wood.png,Nov 25
ingredient,woolen_yarn_plus.png,Nov 25
ingredient,yellow_bottle.png,Nov 25
recipe,blueberry_juice.png,Nov 25
recipe,bouillabaisse.png,Nov 25
recipe,burgundy_fondue.png,Nov 25
recipe,caprese_salad.png,Nov 25
recipe,cheese_croquettes.png,Nov 25
recipe,cheese_fondue.png,Nov 25
recipe,chocolate_fondue.png,Nov 25
recipe,cream_croquettes.png,Nov 25
recipe,croquettes.png,Nov 25
recipe,farmer_s_breakfast.png,Nov 25
recipe,fried_rice.png,Nov 25
recipe,fried_tofu.png,Nov 25
recipe,fruit_juice.png,Nov 25
recipe,galette.png,Nov 25
recipe,grape_juice.png,Nov 25
recipe,gratin.png,Nov 25
recipe,grilled_fish.png,Nov 25
recipe,happy_forest_mix.png,Nov 25
recipe,hash_browns.png,Nov 25
recipe,hot_pot.png,Nov 25
recipe,inari_sushi.png,Nov 25
recipe,khachapuri.png,Nov 25
recipe,macaroni_and_cheese.png,Nov 25
recipe,milk_hot_pot.png,Nov 25
recipe,mushroom_polenta.png,Nov 25
recipe,paella.png,Nov 25
recipe,pink_fondue.png,Nov 25
recipe,popcorn.png,Nov 25
recipe,raclette_cheese.png,Nov 25
recipe,rice_gratin.png,Nov 25
recipe,sashimi.png,Nov 25
recipe,simmered_fish.png,Nov 25
recipe,simmered_seaweed.png,Nov 25
recipe,spring_juice.png,Nov 25
recipe,strawberry_juice.png,Nov 25
recipe,summer_juice.png,Nov 25
recipe,supreme_curry.png,Nov 25
recipe,sushi.png,Nov 25
recipe,sweet_potato_cakes.png,Nov 25
recipe,tempura_soba.png,Nov 25
recipe,tofu_skin.png,Nov 25
recipe,tomato_fondue.png,Nov 25
recipe,tomato_juice.png,Nov 25
recipe,turnip_salad.png,Nov 25
recipe,udon.png,Nov 25
recipe,ultimate_curry.png,Nov 25
recipe,white_bread.png,Nov 25
recipe,yakisoba.png,Nov 25
recipe,zaru_soba.png,Nov 25
